SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,10 Overlook Dr,Chappaqua,NY,10514,1295000,5,6,Chappaqua,5717,133293,1929,3,Garage,182,Active,,,,,1295000,,,http://www.redfin.com/NY/Chappaqua/10-Overlook-Dr-10514/home/20086016,"Hudson Gateway Multiple Listing Service, Inc.",4602697,Houlihan Lawrence Inc.,N,Y,41.168534,-73.757222,false
MLS Listing,Single Family Residential,4 Tanglewild Pl,Chappaqua,NY,10514,737222,4,2.5,Chappaqua,2941,87120,1972,2,Garage,194,Active,,,,2016-07-18,999222,2005-02-01,999000,http://www.redfin.com/NY/Chappaqua/4-Tanglewild-Pl-10514/home/20088319,"Hudson Gateway Multiple Listing Service, Inc.",4601372,Mark Seiden Real Estate Team,N,Y,41.174058,-73.788478,false
MLS Listing,Single Family Residential,55 Kerry Ln,Chappaqua,NY,10514,2550000,4,5,Chappaqua,7000,92556,2005,3,Garage,199,Active,,,,2016-05-11,2695000,2005-09-23,1695000,http://www.redfin.com/NY/Chappaqua/55-Kerry-Ln-10514/home/20003097,"Hudson Gateway Multiple Listing Service, Inc.",4600573,"William Raveis-New York, LLC",N,Y,41.187378,-73.763555,false
MLS Listing,Single Family Residential,5 Lori Ln,Chappaqua,NY,10514,1175000,4,3.5,Chappaqua,3920,35675,2013,2,Garage,202,Active,,,,2016-02-26,1249000,,,http://www.redfin.com/NY/Chappaqua/5-Lori-Ln-10514/home/23051698,"Hudson Gateway Multiple Listing Service, Inc.",4600279,William Raveis Real Estate,N,Y,41.1670642,-73.7654656,false
MLS Listing,Single Family Residential,102 Old Lyme Rd,Chappaqua,NY,10514,975000,4,3.5,Chappaqua,2909,31363,1980,2,Garage,203,Active,,,,2016-02-13,1050000,2011-01-20,899999,http://www.redfin.com/NY/Chappaqua/102-Old-Lyme-Rd-10514/home/20088752,"Hudson Gateway Multiple Listing Service, Inc.",4545999,North Country Sothebys Int Rlt,N,Y,41.150951,-73.756264,false
MLS Listing,Single Family Residential,3 Point Pl,Chappaqua,NY,10514,1599900,4,3.5,Chappaqua,4500,20255,2016,3,Garage,209,Active,,,,,1599900,2015-05-05,440000,http://www.redfin.com/NY/Chappaqua/3-Chappaqua-Rd-10514/home/20085880,"Hudson Gateway Multiple Listing Service, Inc.",4554317,Houlihan Lawrence Inc.,N,Y,41.1610271,-73.7643267,false
MLS Listing,Single Family Residential,8 Point Pl,Chappaqua,NY,10514,1290900,4,2.5,Chappaqua,3200,24480,2016,2,Garage,221,Active,,,,,1290900,2004-05-21,270000,http://www.redfin.com/NY/Chappaqua/8-Chappaqua-Mountain-Rd-10514/home/39805795,"Hudson Gateway Multiple Listing Service, Inc.",4553738,Houlihan Lawrence Inc.,N,Y,41.1707595,-73.7758317,false
MLS Listing,Single Family Residential,6 Point Pl,Chappaqua,NY,10514,1180900,4,2.5,Chappaqua,2700,20081,2016,2,Garage,221,Active,,,,,1180900,2006-10-12,829000,http://www.redfin.com/NY/Chappaqua/6-Chappaqua-Mountain-Rd-10514/home/19998430,"Hudson Gateway Multiple Listing Service, Inc.",4553548,Houlihan Lawrence Inc.,N,Y,41.170309,-73.775692,false
MLS Listing,Single Family Residential,4 Point Pl,Chappaqua,NY,10514,999900,4,2.5,Chappaqua,2400,20168,2016,2,Garage,222,Active,,,,,999900,,,http://www.redfin.com/NY/Chappaqua/4-Chappaqua-Mountain-Rd-10514/home/20085996,"Hudson Gateway Multiple Listing Service, Inc.",4553610,Houlihan Lawrence Inc.,N,Y,41.1702038,-73.7768574,false
MLS Listing,Single Family Residential,3 Evergreen Ln,Chappaqua,NY,10514,799900,5,4,Chappaqua,3298,25656,1953,2,Garage,244,Active,,,,2015-12-14,825000,2000-04-12,479000,http://www.redfin.com/NY/Chappaqua/3-Evergreen-Ln-10514/home/20089368,"Hudson Gateway Multiple Listing Service, Inc.",4551603,Houlihan Lawrence Inc.,N,Y,41.164043,-73.762065,false
